,id,productID,price,quantity
0,501,500,153490000,100
1,502,501,31990000,100
2,503,501,31990000,100
3,504,501,31990000,100
4,505,501,31990000,100
5,506,502,36990000,100
6,507,502,36990000,100
7,508,502,36990000,100
8,509,502,36990000,100
9,510,503,31990000,100
10,511,503,31990000,100
11,512,503,31990000,100
12,513,503,31990000,100
13,514,504,26990000,100
14,515,504,26990000,100
15,516,504,26990000,100
16,517,504,26990000,100
17,518,505,36990000,100
18,519,505,36990000,100
19,520,505,36990000,100
20,521,505,36990000,100
21,522,506,41990000,100
22,523,506,41990000,100
23,524,506,41990000,100
24,525,506,41990000,100
25,526,507,57990000,100
26,527,508,70490000,100
27,528,509,115990000,100
28,529,510,19990000,100
29,530,511,14690000,100
30,531,512,36590000,100
31,532,512,36590000,100
32,533,512,36590000,100
33,534,512,36590000,100
34,535,513,43990000,100
35,536,513,43990000,100
36,537,513,43990000,100
37,538,513,43990000,100
38,539,514,34790000,100
39,540,515,24790000,100
40,541,516,38990000,100
41,542,516,38990000,100
42,543,517,43990000,100
43,544,517,43990000,100
44,545,518,48990000,100
45,546,518,48990000,100
46,547,519,78990000,100
47,548,519,78990000,100
48,549,520,63990000,100
49,550,520,63990000,100
50,551,521,99990000,100
51,552,521,99990000,100
52,553,522,73990000,100
53,554,522,73990000,100
54,555,523,31590000,100
55,556,523,31590000,100
56,557,523,31590000,100
57,558,523,31590000,100
58,559,524,43990000,100
59,560,524,43990000,100
60,561,524,43990000,100
61,562,524,43990000,100
62,563,525,33990000,100
63,564,525,33990000,100
64,565,525,33990000,100
65,566,525,33990000,100
66,567,526,19790000,100
67,568,527,20790000,100
68,569,527,20990000,100
69,570,527,20990000,100
70,571,527,20990000,100
71,572,528,24690000,100
72,573,528,24690000,100
73,574,528,24690000,100
74,575,528,24690000,100
75,576,529,31500000,100
76,577,529,31500000,100
77,578,530,31290000,100
78,579,530,31290000,100
79,580,530,31290000,100
80,581,530,31290000,100
81,582,531,28390000,100
82,583,531,28390000,100
83,584,531,28390000,100
84,585,531,28390000,100
85,586,532,26690000,100
86,587,532,26690000,100
87,588,532,26690000,100
88,589,532,26690000,100
89,590,533,23690000,100
90,591,533,23690000,100
91,592,533,23690000,100
92,593,533,23690000,100
93,594,534,14990000,100
94,595,535,14490000,100
95,596,536,30490000,100
96,597,537,36990000,100
97,598,538,13990000,100
98,599,539,19990000,100
99,600,540,25690000,100
100,601,541,31490000,100
101,602,542,15990000,100
102,603,543,11990000,100
103,604,544,22490000,100
104,605,545,109990000,100
105,606,546,28990000,100
106,607,547,34990000,100
107,608,548,17990000,100
108,609,549,27490000,100
109,610,550,18490000,100
110,611,551,23490000,100
111,612,552,17990000,100
112,613,553,23340000,100
113,614,554,18990000,100
114,615,555,19990000,100
115,616,556,14490000,100
116,617,557,14490000,100
117,618,558,35990000,100
118,619,559,20990000,100
119,620,560,26490000,100
120,621,561,28990000,100
121,622,562,20990000,100
122,623,563,17390000,100
123,624,564,31990000,100
124,625,565,29990000,100
125,626,566,26490000,100
126,627,567,29990000,100
