id,productID,price,quantity
1,0,153490000,100
2,1,31990000,100
3,1,31990000,100
4,1,31990000,100
5,1,31990000,100
6,2,36990000,100
7,2,36990000,100
8,2,36990000,100
9,2,36990000,100
10,3,31990000,100
11,3,31990000,100
12,3,31990000,100
13,3,31990000,100
14,4,26990000,100
15,4,26990000,100
16,4,26990000,100
17,4,26990000,100
18,5,36990000,100
19,5,36990000,100
20,5,36990000,100
21,5,36990000,100
22,6,41990000,100
23,6,41990000,100
24,6,41990000,100
25,6,41990000,100
26,7,57990000,100
27,8,70490000,100
28,9,115990000,100
29,10,19990000,100
30,11,14690000,100
31,12,36590000,100
32,12,36590000,100
33,12,36590000,100
34,12,36590000,100
35,13,43990000,100
36,13,43990000,100
37,13,43990000,100
38,13,43990000,100
39,14,34790000,100
40,15,24790000,100
41,16,38990000,100
42,16,38990000,100
43,17,43990000,100
44,17,43990000,100
45,18,48990000,100
46,18,48990000,100
47,19,78990000,100
48,19,78990000,100
49,20,63990000,100
50,20,63990000,100
51,21,99990000,100
52,21,99990000,100
53,22,73990000,100
54,22,73990000,100
55,23,31590000,100
56,23,31590000,100
57,23,31590000,100
58,23,31590000,100
59,24,43990000,100
60,24,43990000,100
61,24,43990000,100
62,24,43990000,100
63,25,33990000,100
64,25,33990000,100
65,25,33990000,100
66,25,33990000,100
67,26,19790000,100
68,27,20790000,100
69,27,20990000,100
70,27,20990000,100
71,27,20990000,100
72,28,24690000,100
73,28,24690000,100
74,28,24690000,100
75,28,24690000,100
76,29,31500000,100
77,29,31500000,100
78,30,31290000,100
79,30,31290000,100
80,30,31290000,100
81,30,31290000,100
82,31,28390000,100
83,31,28390000,100
84,31,28390000,100
85,31,28390000,100
86,32,26690000,100
87,32,26690000,100
88,32,26690000,100
89,32,26690000,100
90,33,23690000,100
91,33,23690000,100
92,33,23690000,100
93,33,23690000,100
94,34,14990000,100
95,35,14490000,100
96,36,30490000,100
97,37,36990000,100
98,38,13990000,100
99,39,19990000,100
100,40,25690000,100
101,41,31490000,100
102,42,15990000,100
103,43,11990000,100
104,44,22490000,100
105,45,109990000,100
106,46,28990000,100
107,47,34990000,100
108,48,17990000,100
109,49,27490000,100
110,50,18490000,100
111,51,23490000,100
112,52,17990000,100
113,53,23340000,100
114,54,18990000,100
115,55,19990000,100
116,56,14490000,100
117,57,14490000,100
118,58,35990000,100
119,59,20990000,100
120,60,26490000,100
121,61,28990000,100
122,62,20990000,100
123,63,17390000,100
124,64,31990000,100
125,65,29990000,100
126,66,26490000,100
127,67,29990000,100
128,68,22990000,100
129,69,30490000,100
130,70,25990000,100
131,71,21990000,100
132,72,34990000,100
133,73,34490000,100
134,74,21990000,100
135,75,7990000,100
136,76,7990000,100
137,77,37990000,100
138,78,18490000,100
139,79,16990000,100
140,80,18590000,100
141,81,24990000,100
142,82,26990000,100
143,83,26000000,100
144,84,17990000,100
145,85,27990000,100
146,86,13490000,100
147,87,18190000,100
148,88,17990000,100
149,89,23990000,100
150,90,11490000,100
151,91,13690000,100
152,92,34990000,100
153,93,33990000,100
154,94,19990000,100
155,95,22990000,100
156,96,37490000,100
157,97,20990000,100
158,98,31990000,100
159,99,27990000,100
160,100,37490000,100
161,101,25990000,100
162,102,20990000,100
163,103,20990000,100
164,104,32490000,100
165,105,17090000,100
166,106,18490000,100
167,107,12999000,100
168,108,16490000,100
169,109,33490000,100
170,110,44990000,100
171,111,26490000,100
172,112,15990000,100
173,113,24990000,100
174,114,15390000,100
175,115,8990000,100
176,116,22990000,100
177,117,22990000,100
178,118,22990000,100
179,119,29990000,100
180,120,27590000,100
181,121,18190000,100
182,122,25990000,100
183,123,25990000,100
184,124,,100
185,125,26990000,100
186,126,,100
187,127,,100
188,128,,100
189,129,25999000,100
190,130,28990000,100
191,131,27990000,100
192,132,16990000,100
193,133,20990000,100
194,134,24990000,100
195,135,21990000,100
196,136,11490000,100
197,137,,100
198,138,,100
199,139,,100
200,140,9990000,100
201,141,47990000,100
202,142,16990000,100
203,143,25990000,100
204,144,20490000,100
205,145,28990000,100
206,146,29990000,100
207,147,14990000,100
208,148,31490000,100
209,149,21990000,100
210,150,19990000,100
211,151,28990000,100
212,152,14390000,100
213,153,12790000,100
214,154,11990000,100
215,155,18990000,100
216,156,18690000,100
217,157,16490000,100
218,158,18490000,100
219,159,24990000,100
220,160,29990000,100
221,161,30490000,100
222,162,18390000,100
223,163,25890000,100
224,164,20990000,100
225,165,22990000,100
226,166,15390000,100
227,167,14990000,100
228,168,17990000,100
229,169,18990000,100
230,170,22990000,100
231,171,15690000,100
232,172,32990000,100
233,173,36990000,100
234,174,79990000,100
235,175,52990000,100
236,176,16900000,100
237,177,16990000,100
238,178,22990000,100
239,179,13990000,100
240,180,24990000,100
241,181,19990000,100
242,182,17990000,100
243,183,19990000,100
244,184,15490000,100
245,185,17990000,100
246,186,19890000,100
247,187,33490000,100
248,188,24299000,100
