,item_name,url,origin_price,colors,prices,version,images,category
10,MacBook Air M1 13 inch (8GB/256GB) - Chính hãng Apple Việt Nam,https://hoanghamobile.com/lap-top/macbook-air-13-inch-2020-256gb-chinh-hang-apple-viet-nam-phien-ban-moi,"19,990,000 ₫",['Space Gray'],[],256GB,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/16/mac-m1-ghi-1.png'],MACBOOK
11,Mac Mini M4 2024 10CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-mini-m4-16gb-256gb,"14,690,000 ₫",['Mặc định'],[],M4 (16GB/256GB),['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/mac-mini-m4-1.png'],MACBOOK
12,MacBook Air M3 13.6 inch 8CPU 10GPU 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-13-6-inch-24gb-512gb,"36,590,000 ₫","['Vàng', 'Xám', 'Bạc', 'Xanh Đen']","['36,590,000 ₫', '36,590,000 ₫', '36,590,000 ₫', '36,590,000 ₫']","13.6"" (24GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-starlight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-space-gray-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-midnight-1.png']",MACBOOK
13,iMac M4 24 inch 2024 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/pc/imac-m4-24-inch-10cpu-10gpu-16gb-512gb,"43,990,000 ₫","['Xanh Dương', 'Hồng', 'Xanh Lá', 'Bạc']","['43,990,000 ₫', '43,990,000 ₫', '43,990,000 ₫', '43,990,000 ₫']",16GB/512GB,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-duong-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-hong-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-la-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-bac-10cpu-1.png']",MACBOOK
14,Mac Mini M4 Pro 2024 12CPU 16GPU 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-mini-m4-pro-24gb-512gb,"34,790,000 ₫",['Mặc định'],[],M4 Pro (24GB/512GB),['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/mac-mini-pro-m4-1.png'],MACBOOK
15,Mac Mini M4 2024 10CPU 10GPU 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-mini-m4-24gb-512gb,"24,790,000 ₫",['Mặc định'],[],M4 (24GB/512GB),['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/mac-mini-m4-1.png'],MACBOOK
16,MacBook Pro 14 inch M4 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-14-inch-16gb-512gb,"38,990,000 ₫","['Bạc', 'Đen']","['38,990,000 ₫', '38,990,000 ₫']","14"" M4 (16GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-m4-14-inch-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-m4-14-inch-den-1.png']",MACBOOK
17,MacBook Pro 14 inch M4 10CPU 10GPU 16GB/1TB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-14-inch-16gb-1tb,"43,990,000 ₫","['Bạc', 'Đen']","['43,990,000 ₫', '43,990,000 ₫']","14"" M4 (16GB/1TB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-m4-14-inch-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-m4-14-inch-den-1.png']",MACBOOK
18,MacBook Pro 14 inch M4 Pro 12CPU 16GPU 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-pro-14-inch-24gb-512gb,"48,990,000 ₫","['Bạc', 'Đen']","['48,990,000 ₫', '48,990,000 ₫']","14"" M4 Pro (24GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-14-inch-m4-pro-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-14-inch-m4-pro-den-1.png']",MACBOOK
19,MacBook Pro 14 inch M4 Max 14CPU 32GPU 36GB/1TB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-max-14-inch-36gb-1tb,"78,990,000 ₫","['Bạc', 'Đen']","['78,990,000 ₫', '78,990,000 ₫']","14"" M4 Max (36GB/1TB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-14-inch-m4-max-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-14-inch-m4-max-den-1.png']",MACBOOK
20,MacBook Pro 16 inch M4 Pro 14CPU 20GPU 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-pro-16-inch-24gb-512gb,"63,990,000 ₫","['Bạc', 'Đen']","['63,990,000 ₫', '63,990,000 ₫']","16"" M4 Pro (24GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-pro-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-pro-den-1.png']",MACBOOK
21,MacBook Pro 16 inch M4 Max 16CPU 40GPU 48GB/1TB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-max-16-inch-48gb-1tb,"99,990,000 ₫","['Bạc', 'Đen']","['99,990,000 ₫', '99,990,000 ₫']","16"" M4 Max (48GB/1TB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-max-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-max-den-1.png']",MACBOOK
